interacting_drug,drug_class,severity,mechanism,clinical_effect,recommendation
Propranolol,Non-selective Beta-blocker,major,Competitive antagonism at beta-2 receptors,Reduced bronchodilation and potential bronchospasm,Avoid non-selective beta-blockers in asthma. Use cardioselective if needed.
Nadolol,Non-selective Beta-blocker,major,Competitive antagonism at beta-2 receptors,Reduced bronchodilation and potential bronchospasm,Avoid non-selective beta-blockers in asthma.
Timolol,Non-selective Beta-blocker,major,Competitive antagonism (including ophthalmic),Bronchospasm even with eye drops,Avoid timolol eye drops in asthma patients.
Sotalol,Non-selective Beta-blocker,major,Competitive antagonism + QT effects,Bronchospasm and arrhythmia risk,Contraindicated in asthma.
MAOIs (Phenelzine),MAOI,major,Inhibited catecholamine metabolism,Severe hypertension and tachycardia,Avoid combination. Allow 14-day washout.
MAOIs (Tranylcypromine),MAOI,major,Inhibited catecholamine metabolism,Severe hypertension and tachycardia,Avoid combination. Allow 14-day washout.
Tricyclic Antidepressants,TCA,moderate,Additive cardiovascular effects,Increased risk of arrhythmias,Monitor ECG and heart rate.
Furosemide,Loop Diuretic,moderate,Additive hypokalemia,Severe hypokalemia and arrhythmia risk,Monitor potassium. Consider supplementation.
Hydrochlorothiazide,Thiazide Diuretic,moderate,Additive hypokalemia,Hypokalemia and arrhythmia risk,Monitor potassium.
Digoxin,Cardiac Glycoside,moderate,Hypokalemia increases digoxin toxicity,Digoxin toxicity with arrhythmias,Monitor potassium and digoxin levels.
Theophylline,Methylxanthine,moderate,Additive beta-agonist effects,Increased tachycardia and hypokalemia,Monitor heart rate and potassium. Effective combination for severe asthma.
Corticosteroids,Anti-inflammatory,moderate,Additive hypokalemia,Hypokalemia especially with high doses,Monitor potassium with high-dose steroids.
QT-prolonging drugs,Antiarrhythmic,moderate,Hypokalemia + QT effects,Increased risk of torsades de pointes,Monitor ECG and potassium.
Atomoxetine,SNRI (ADHD),moderate,Additive cardiovascular effects,Tachycardia and hypertension,Monitor heart rate and blood pressure.
Metoprolol,Cardioselective Beta-blocker,minor,Partial antagonism at beta-2,Slightly reduced bronchodilation at high doses,Cardioselective beta-blockers generally safe. Monitor.
Bisoprolol,Cardioselective Beta-blocker,minor,Partial antagonism at beta-2,Slightly reduced bronchodilation at high doses,Cardioselective preferred over non-selective.
Caffeine,Stimulant,minor,Additive stimulant effects,Increased tremor and tachycardia,Reduce caffeine intake if side effects occur.
Insulin,Antidiabetic,minor,Beta-agonist hyperglycemic effect,May increase blood glucose transiently,Monitor glucose. Usually not clinically significant.
