name,source,meddra_type,frequency,severity
Abdominal pain,SIDER,LLT,"{'value': 0.034, 'type': 'percentage', 'raw': '3.4%'}",mild
Gastrointestinal pain,SIDER,PT,"{'value': 0.034, 'type': 'percentage', 'raw': '3.4%'}",mild
Lactic acidosis,SIDER,LLT,"{'value': 0.0005, 'type': 'categorical', 'category': 'rare', 'range': '0.01-0.1%', 'raw': 'very rare'}",mild
Aggression,SIDER,LLT,"{'value': 0.01, 'type': 'percentage', 'raw': '1%'}",mild
Anaphylactic shock,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",severe
Angina pectoris,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Angioedema,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Anorexia,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Decreased appetite,SIDER,PT,"{'value': 0.01, 'type': 'percentage', 'raw': '1%'}",mild
Anxiety,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",moderate
Arrhythmia,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",severe
Arthralgia,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Musculoskeletal discomfort,SIDER,PT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Asthenia,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Asthma,SIDER,LLT,"{'value': 0.06, 'type': 'percentage', 'raw': '6%'}",mild
Ataxia,SIDER,LLT,,mild
Atrial fibrillation,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Back pain,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Mental disorder,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Coagulopathy,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Bronchospasm,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",moderate
Bronchitis,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Chest pain,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Infection,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Conjunctivitis,SIDER,LLT,"{'value': 0.01, 'type': 'percentage', 'raw': '1%'}",mild
Connective tissue disorder,SIDER,LLT,,mild
Constipation,SIDER,LLT,,mild
Cough,SIDER,LLT,"{'value': 0.027000000000000003, 'type': 'percentage', 'raw': '2.7%'}",mild
Diabetes mellitus,SIDER,LLT,,mild
Diarrhoea,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Dizziness,SIDER,LLT,"{'value': 0.018000000000000002, 'type': 'percentage', 'raw': '1.8%'}",moderate
Drowsiness,SIDER,LLT,"{'value': 0.01, 'type': 'percentage', 'raw': '1%'}",mild
Somnolence,SIDER,PT,"{'value': 0.006, 'type': 'percentage', 'raw': '0.6%'}",mild
Dysgeusia,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Dyspepsia,SIDER,LLT,"{'value': 0.013000000000000001, 'type': 'percentage', 'raw': '1.3%'}",mild
Dyspnoea,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Ear disorder,SIDER,LLT,,mild
Ear pain,SIDER,LLT,,mild
Oedema,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Epistaxis,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Eructation,SIDER,LLT,,mild
Rash,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",moderate
Dermatitis,SIDER,PT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Fatigue,SIDER,LLT,"{'value': 0.01, 'type': 'percentage', 'raw': '1%'}",mild
Body temperature increased,SIDER,LLT,"{'value': 0.051, 'type': 'percentage', 'raw': '5.1%'}",mild
Flatulence,SIDER,LLT,"{'value': 0.02, 'type': 'percentage', 'raw': '2%'}",mild
Flushing,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Gagging,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Retching,SIDER,PT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Gastroenteritis,SIDER,LLT,"{'value': 0.009000000000000001, 'type': 'percentage', 'raw': '0.9%'}",mild
Gastrointestinal disorder,SIDER,LLT,"{'value': 0.02, 'type': 'percentage', 'raw': '2%'}",mild
Glossitis,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Glycosuria,SIDER,LLT,,mild
Headache,SIDER,LLT,"{'value': 0.085, 'type': 'percentage', 'raw': '8.5%'}",moderate
Cardiac disorder,SIDER,LLT,,mild
Cardiac murmur,SIDER,LLT,,mild
Heartburn,SIDER,LLT,"{'value': 0.05, 'type': 'percentage', 'raw': '5%'}",mild
Haemorrhage,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",severe
Haemoglobin,SIDER,PT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Hoarseness,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Dysphonia,SIDER,PT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Hyperglycaemia,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Hypersensitivity,SIDER,LLT,"{'value': 0.013000000000000001, 'type': 'percentage', 'raw': '1.3%'}",mild
Type I hypersensitivity,SIDER,LLT,,mild
Hypertension,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",moderate
Hyperventilation,SIDER,LLT,,mild
Hypoglycaemia,SIDER,LLT,,mild
Hypokalaemia,SIDER,LLT,"{'value': 0.0005, 'type': 'categorical', 'category': 'rare', 'range': '0.01-0.1%', 'raw': 'rare'}",mild
Hypotension,SIDER,LLT,"{'value': 0.0005, 'type': 'categorical', 'category': 'rare', 'range': '0.01-0.1%', 'raw': 'very rare'}",moderate
Immune system disorder,SIDER,LLT,,mild
Inflammation,SIDER,LLT,"{'value': 0.05, 'type': 'percentage', 'raw': '5%'}",mild
Influenza,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Irritability,SIDER,LLT,"{'value': 0.01, 'type': 'percentage', 'raw': '1%'}",mild
Jaundice,SIDER,LLT,,mild
Ketosis,SIDER,LLT,,mild
Laryngitis,SIDER,LLT,,mild
Cramps of lower extremities,SIDER,LLT,"{'value': 0.013000000000000001, 'type': 'percentage', 'raw': '1.3%'}",mild
Muscle spasms,SIDER,PT,"{'value': 0.013000000000000001, 'type': 'percentage', 'raw': '1.3%'}",mild
Lung disorder,SIDER,LLT,,mild
Breast pain,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Mediastinal disorder,SIDER,LLT,,mild
Cramp muscle,SIDER,LLT,"{'value': 0.006, 'type': 'percentage', 'raw': '0.6%'}",mild
Musculoskeletal disorder,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",mild
Musculoskeletal pain,SIDER,LLT,"{'value': 0.05, 'type': 'percentage', 'raw': '5%'}",mild
Mydriasis,SIDER,LLT,"{'value': 0.01, 'type': 'percentage', 'raw': '1%'}",mild
Nasal congestion,SIDER,LLT,"{'value': 0.01, 'type': 'percentage', 'raw': '1%'}",mild
Nasopharyngitis,SIDER,LLT,"{'value': 0.017, 'type': 'percentage', 'raw': '1.7%'}",mild
Nausea,SIDER,LLT,"{'raw': 'postmarketing', 'type': 'unknown'}",moderate
Nervous system disorder,SIDER,LLT,,mild
Nervousness,SIDER,LLT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
Tension,SIDER,PT,"{'value': 0.0, 'type': 'percentage', 'raw': '0%'}",mild
